,Record_ID,Created_Date,Qualified_Date,Closed_Date,Revenue,Region,Segment,Opportunity_Source,Outbound,CreateDiff,QualDiff
0,a734U000000tRfRQAU,2021-07-14,2021-07-16,2022-01-01,2999.0,North America,Agency,Lead,False,171,169
1,a734U000000tQdAQAU,2021-12-21,2021-12-21,2022-01-01,957.0,North America,Agency,Self-Gen,True,11,11
2,a734U000000tKQyQAM,2021-11-01,2021-11-02,2022-01-01,940.45,North America,SMB,Lead,False,61,60
3,a734U000000tJF1QAM,2021-12-02,2022-01-03,2022-01-01,558.0,North America,SMB,BDR,True,30,-2
4,a734U000000svbDQAQ,2021-09-24,2021-09-28,2022-01-01,364.0,North America,Agency,Lead,False,99,95
5,a734U000000tIJHQA2,2021-12-01,2022-01-03,2022-01-01,169.0,North America,Agency,Trial,False,31,-2
6,a734U000000scX2QAI,2021-08-18,2021-08-24,2022-01-01,149.0,North America,SMB,Trial,False,136,130
7,a734U000000tJHlQAM,2021-12-02,2021-12-20,2022-01-01,149.0,North America,SMB,Trial,False,30,12
8,a734U000000tCbUQAU,2021-11-16,2021-11-18,2022-01-01,125.0,North America,Mid,Trial,False,46,44
9,a734U000000tGyXQAU,2021-11-27,2022-01-10,2022-01-01,99.0,Middle East,SMB,Trial,False,35,-9
10,a734U000000tJ0kQAE,2021-12-02,2022-01-10,2022-01-01,99.0,Europe,SMB,Trial,False,30,-9
11,a734U000000tFkoQAE,2021-11-24,2021-12-27,2022-01-01,99.0,North America,SMB,Trial,False,38,5
12,a734U000000tIurQAE,2021-12-02,2021-12-06,2022-01-01,99.0,North America,SMB,Trial,False,30,26
13,a734U000000tHyTQAU,2021-11-30,2021-12-21,2022-01-02,499.0,North America,Agency,Trial,False,33,12
14,a734U000000tJXyQAM,2021-12-03,2021-12-03,2022-01-02,298.0,North America,Mid,Trial,False,30,30
15,a734U000000tJSAQA2,2021-12-03,2021-12-06,2022-01-02,169.0,North America,Agency,Trial,False,30,27
16,a734U000000tJY3QAM,2021-12-03,2021-12-20,2022-01-02,169.0,North America,Enterprise,Trial,False,30,13
17,a734U000000tJXjQAM,2021-07-29,2021-08-05,2022-01-02,149.0,North America,Mid,Lead,False,157,150
18,a734U000000tJjLQAU,2021-12-03,2021-12-14,2022-01-02,149.0,North America,SMB,Trial,False,30,19
19,a734U000000tJRCQA2,2021-12-03,2021-12-06,2022-01-02,99.0,Europe,SMB,Trial,False,30,27
20,a734U000000tKvmQAE,2021-12-07,2021-12-07,2022-01-03,2445.0,Middle East,Mid,Lead,False,27,27
21,a734U000000tI8JQAU,2021-10-26,2021-11-18,2022-01-03,558.0,North America,SMB,Lead,False,69,46
22,a734U000000tRmrQAE,2021-12-27,2022-01-05,2022-01-03,460.0,North America,Agency,Trial,False,7,-2
23,a734U000000spirQAA,2022-01-03,2022-01-03,2022-01-03,447.0,North America,Mid,Trial,False,0,0
24,a734U000000tJYSQA2,2021-12-03,2021-12-08,2022-01-03,338.0,North America,SMB,Trial,False,31,26
25,a734U000000tQxoQAE,2021-11-29,2021-12-01,2022-01-03,298.0,North America,SMB,Unknown,False,35,33
26,a734U000000tJHCQA2,2021-12-02,2022-01-03,2022-01-03,198.0,North America,SMB,Trial,False,32,0
27,a734U000000t1WiQAI,2021-10-19,2022-01-06,2022-01-03,169.0,North America,SMB,Lead,False,76,-3
28,a734U000000tJGdQAM,2021-10-21,2021-10-27,2022-01-03,169.0,North America,SMB,Lead,False,74,68
29,a734U000000tIejQAE,2021-12-01,2022-01-04,2022-01-03,169.0,North America,SMB,Trial,False,33,-1
30,a734U000000tFh1QAE,2021-11-04,2021-11-08,2022-01-03,169.0,North America,SMB,Lead,False,60,56
31,a734U000000tG0XQAU,2021-11-24,2021-12-16,2022-01-03,169.0,North America,SMB,Trial,False,40,18
32,a734U000000tCflQAE,2021-11-16,2021-11-16,2022-01-03,169.0,North America,SMB,Trial,False,48,48
33,a734U000000tIkmQAE,2021-12-01,2022-01-31,2022-01-03,169.0,North America,Mid,Trial,False,33,-28
34,a734U000000tJKBQA2,2021-12-02,2021-12-07,2022-01-03,149.0,North America,Mid,Trial,False,32,27
35,a734U000000tJanQAE,2021-12-03,2022-01-04,2022-01-03,149.0,North America,SMB,Trial,False,31,-1
36,a734U000000tJjVQAU,2021-12-03,2022-01-27,2022-01-03,149.0,North America,SMB,Trial,False,31,-24
37,a734U000000tNpDQAU,2021-12-08,2021-12-14,2022-01-03,149.0,North America,Mid,Lead,False,26,20
38,a734U000000tInMQAU,2021-11-03,2021-11-08,2022-01-03,149.0,North America,Enterprise,Lead,False,61,56
39,a734U000000tPuFQAU,2021-11-05,2021-12-07,2022-01-03,149.0,North America,SMB,Self-Gen,True,59,27
40,a734U000000tLS2QAM,2021-12-08,2021-12-10,2022-01-03,135.83,North America,SMB,Trial,False,26,24
41,a734U000000tJkdQAE,2021-12-03,2022-01-04,2022-01-03,99.0,North America,Mid,Trial,False,31,-1
42,a734U000000t7sfQAA,2021-11-03,2022-01-04,2022-01-03,99.0,North America,Mid,Trial,False,61,-1
43,a734U000000tHwIQAU,2021-11-30,2022-01-19,2022-01-03,89.0,Europe,SMB,Trial,False,34,-16
44,a734U000000t2ltQAA,2021-10-21,2022-01-03,2022-01-03,89.0,Australia Pacific,SMB,Trial,False,74,0
45,a734U000000tF0bQAE,2021-11-22,2022-01-31,2022-01-03,89.0,North America,Agency,Trial,False,42,-28
46,a734U000000tP6tQAE,2021-11-29,2021-12-03,2022-01-04,1462.85,North America,SMB,Lead,False,36,32
47,a734U000000tDCkQAM,2021-10-22,2021-10-25,2022-01-04,796.0,North America,SMB,Lead,False,74,71
48,a734U000000tUGKQA2,2022-01-03,2022-01-03,2022-01-04,778.38,North America,SMB,Self-Gen,True,1,1
49,a734U000000tJfOQAU,2021-12-03,2021-12-16,2022-01-04,558.0,North America,SMB,Trial,False,32,19
50,a734U000000tTmeQAE,2021-12-15,2021-12-20,2022-01-04,549.0,North America,Agency,Lead,False,20,15
51,a734U000000tFHmQAM,2021-11-23,2022-01-03,2022-01-04,522.0,Asia,SMB,Trial,False,42,1
52,a734U000000tMhDQAU,2021-12-11,2021-12-15,2022-01-04,507.0,North America,Mid,Trial,False,24,20
53,a734U000000tJL9QAM,2021-12-03,2021-12-09,2022-01-04,473.99,Australia Pacific,Agency,Trial,False,32,26
54,a734U000000tIrsQAE,2021-12-01,2022-01-04,2022-01-04,297.0,Australia Pacific,SMB,Trial,False,34,0
55,a734U000000stYHQAY,2021-09-29,2022-01-04,2022-01-04,279.0,Europe,Mid,Trial,False,97,0
56,a734U000000tPiEQAU,2021-12-20,2022-05-27,2022-01-04,169.0,Europe,SMB,Lead,False,15,-143
57,a734U000000tK8pQAE,2021-12-05,2021-12-08,2022-01-04,169.0,North America,Agency,Trial,False,30,27
58,a734U000000tIIdQAM,2021-11-30,2022-01-04,2022-01-04,169.0,North America,Mid,Trial,False,35,0
59,a734U000000tK7mQAE,2021-12-05,2021-12-06,2022-01-04,169.0,North America,Mid,Trial,False,30,29
60,a734U000000t8msQAA,2021-11-06,2021-11-08,2022-01-04,169.0,North America,SMB,Trial,False,59,57
61,a734U000000tIe0QAE,2021-10-25,2021-10-27,2022-01-04,149.0,North America,Mid,Lead,False,71,69
62,a734U000000tUDaQAM,2021-08-24,2021-08-31,2022-01-04,119.2,North America,SMB,Lead,False,133,126
63,a734U000000tIx2QAE,2021-12-02,2021-12-02,2022-01-04,99.0,Australia Pacific,SMB,Trial,False,33,33
64,a734U000000tCjJQAU,2021-11-16,2022-01-04,2022-01-04,99.0,North America,SMB,Trial,False,49,0
65,a734U000000tIcEQAU,2022-01-04,2022-01-04,2022-01-04,99.0,North America,SMB,Trial,False,0,0
66,a734U000000tKBZQA2,2021-12-05,2022-01-04,2022-01-04,99.0,North America,SMB,Trial,False,30,0
67,a734U000000tIhiQAE,2021-12-01,2022-01-05,2022-01-04,99.0,North America,SMB,Trial,False,34,-1
68,a734U000000tJWlQAM,2021-12-03,2021-12-30,2022-01-04,89.0,North America,SMB,Trial,False,32,5
69,a734U000000tKTJQA2,2021-08-24,2021-09-10,2022-01-04,89.0,North America,SMB,Lead,False,133,116
70,a734U000000tTHgQAM,2021-10-13,2021-10-20,2022-01-05,4591.72,North America,Mid,BDR,True,84,77
71,a734U000000tUBKQA2,2021-10-26,2021-10-27,2022-01-05,1370.08,North America,Mid,Lead,False,71,70
72,a734U000000tKTEQA2,2021-12-06,2022-01-05,2022-01-05,747.0,North America,Agency,Trial,False,30,0
73,a734U000000tKGyQAM,2021-12-06,2022-01-07,2022-01-05,663.0,North America,Agency,Trial,False,30,-2
74,a734U000000tQdKQAU,2021-12-10,2021-12-14,2022-01-05,399.0,North America,SMB,Lead,False,26,22
75,a734U000000t69oQAA,2021-10-30,2022-01-05,2022-01-05,338.0,Africa,SMB,Trial,False,67,0
76,a734U000000tKdOQAU,2021-12-06,2021-12-29,2022-01-05,338.0,North America,Mid,Trial,False,30,7
77,a734U000000tG1fQAE,2021-11-24,2021-12-01,2022-01-05,287.31,North America,SMB,Trial,False,42,35
78,a734U000000tFBFQA2,2021-11-04,2021-11-09,2022-01-05,269.0,North America,Agency,Lead,False,62,57
79,a734U000000tKQ0QAM,2021-12-06,2021-12-10,2022-01-05,238.4,North America,Mid,Trial,False,30,26
80,a734U000000tKWhQAM,2021-12-06,2021-12-27,2022-01-05,178.0,North America,Mid,Trial,False,30,9
81,a734U000000tKWNQA2,2021-12-06,2021-12-13,2022-01-05,169.0,North America,SMB,Trial,False,30,23
82,a734U000000tOYXQA2,2021-11-17,2021-11-23,2022-01-05,169.0,Europe,Mid,Lead,False,49,43
83,a734U000000tKSGQA2,2021-12-06,2021-12-14,2022-01-05,169.0,North America,SMB,Trial,False,30,22
84,a734U000000tKcBQAU,2021-12-06,2021-12-07,2022-01-05,169.0,North America,SMB,Trial,False,30,29
85,a734U000000tKWIQA2,2021-12-06,2022-01-19,2022-01-05,169.0,North America,SMB,Trial,False,30,-14
86,a734U000000tKWmQAM,2021-12-06,2021-12-07,2022-01-05,169.0,North America,Mid,Trial,False,30,29
87,a734U000000tKddQAE,2021-12-06,2022-01-05,2022-01-05,169.0,North America,Agency,Trial,False,30,0
88,a734U000000tKPlQAM,2021-12-06,2022-01-05,2022-01-05,169.0,Europe,Agency,Trial,False,30,0
