Record_ID,Created_Date,Qualified_Date,Closed_Date,Revenue,Region,Segment,Opportunity_Source,Outbound
a734U000000tRfRQAU,7/14/2021,7/16/2021,1/1/2022,2999,North America,Agency,Lead,FALSE
a734U000000tQdAQAU,12/21/2021,12/21/2021,1/1/2022,957,North America,Agency,Self-Gen,TRUE
a734U000000tKQyQAM,11/1/2021,11/2/2021,1/1/2022,940.45,North America,SMB,Lead,FALSE
a734U000000tJF1QAM,12/2/2021,1/3/2022,1/1/2022,558,North America,SMB,BDR,TRUE
a734U000000svbDQAQ,9/24/2021,9/28/2021,1/1/2022,364,North America,Agency,Lead,FALSE
a734U000000tIJHQA2,12/1/2021,1/3/2022,1/1/2022,169,North America,Agency,Trial,FALSE
a734U000000scX2QAI,8/18/2021,8/24/2021,1/1/2022,149,North America,SMB,Trial,FALSE
a734U000000tJHlQAM,12/2/2021,12/20/2021,1/1/2022,149,North America,SMB,Trial,FALSE
a734U000000tCbUQAU,11/16/2021,11/18/2021,1/1/2022,125,North America,Mid,Trial,FALSE
a734U000000tGyXQAU,11/27/2021,1/10/2022,1/1/2022,99,Middle East,SMB,Trial,FALSE
a734U000000tJ0kQAE,12/2/2021,1/10/2022,1/1/2022,99,Europe,SMB,Trial,FALSE
a734U000000tFkoQAE,11/24/2021,12/27/2021,1/1/2022,99,North America,SMB,Trial,FALSE
a734U000000tIurQAE,12/2/2021,12/6/2021,1/1/2022,99,North America,SMB,Trial,FALSE
a734U000000tHyTQAU,11/30/2021,12/21/2021,1/2/2022,499,North America,Agency,Trial,FALSE
a734U000000tJXyQAM,12/3/2021,12/3/2021,1/2/2022,298,North America,Mid,Trial,FALSE
a734U000000tJSAQA2,12/3/2021,12/6/2021,1/2/2022,169,North America,Agency,Trial,FALSE
a734U000000tJY3QAM,12/3/2021,12/20/2021,1/2/2022,169,North America,Enterprise,Trial,FALSE
a734U000000tJXjQAM,7/29/2021,8/5/2021,1/2/2022,149,North America,Mid,Lead,FALSE
a734U000000tJjLQAU,12/3/2021,12/14/2021,1/2/2022,149,North America,SMB,Trial,FALSE
a734U000000tJRCQA2,12/3/2021,12/6/2021,1/2/2022,99,Europe,SMB,Trial,FALSE
a734U000000tKvmQAE,12/7/2021,12/7/2021,1/3/2022,2445,Middle East,Mid,Lead,FALSE
a734U000000tI8JQAU,10/26/2021,11/18/2021,1/3/2022,558,North America,SMB,Lead,FALSE
a734U000000tRmrQAE,12/27/2021,1/5/2022,1/3/2022,460,North America,Agency,Trial,FALSE
a734U000000spirQAA,1/3/2022,1/3/2022,1/3/2022,447,North America,Mid,Trial,FALSE
a734U000000tJYSQA2,12/3/2021,12/8/2021,1/3/2022,338,North America,SMB,Trial,FALSE
a734U000000tQxoQAE,11/29/2021,12/1/2021,1/3/2022,298,North America,SMB,Unknown,FALSE
a734U000000tJHCQA2,12/2/2021,1/3/2022,1/3/2022,198,North America,SMB,Trial,FALSE
a734U000000t1WiQAI,10/19/2021,1/6/2022,1/3/2022,169,North America,SMB,Lead,FALSE
a734U000000tJGdQAM,10/21/2021,10/27/2021,1/3/2022,169,North America,SMB,Lead,FALSE
a734U000000tIejQAE,12/1/2021,1/4/2022,1/3/2022,169,North America,SMB,Trial,FALSE
a734U000000tFh1QAE,11/4/2021,11/8/2021,1/3/2022,169,North America,SMB,Lead,FALSE
a734U000000tG0XQAU,11/24/2021,12/16/2021,1/3/2022,169,North America,SMB,Trial,FALSE
a734U000000tCflQAE,11/16/2021,11/16/2021,1/3/2022,169,North America,SMB,Trial,FALSE
a734U000000tIkmQAE,12/1/2021,1/31/2022,1/3/2022,169,North America,Mid,Trial,FALSE
a734U000000tJKBQA2,12/2/2021,12/7/2021,1/3/2022,149,North America,Mid,Trial,FALSE
a734U000000tJanQAE,12/3/2021,1/4/2022,1/3/2022,149,North America,SMB,Trial,FALSE
a734U000000tJjVQAU,12/3/2021,1/27/2022,1/3/2022,149,North America,SMB,Trial,FALSE
a734U000000tNpDQAU,12/8/2021,12/14/2021,1/3/2022,149,North America,Mid,Lead,FALSE
a734U000000tInMQAU,11/3/2021,11/8/2021,1/3/2022,149,North America,Enterprise,Lead,FALSE
a734U000000tPuFQAU,11/5/2021,12/7/2021,1/3/2022,149,North America,SMB,Self-Gen,TRUE
a734U000000tLS2QAM,12/8/2021,12/10/2021,1/3/2022,135.83,North America,SMB,Trial,FALSE
a734U000000tJkdQAE,12/3/2021,1/4/2022,1/3/2022,99,North America,Mid,Trial,FALSE
a734U000000t7sfQAA,11/3/2021,1/4/2022,1/3/2022,99,North America,Mid,Trial,FALSE
